"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2021","22.81","23.35","23.46","22.79","33.95M","-5.51%"
"10/13/2021","24.14","24.46","24.98","24.10","38.54M","-1.91%"
"10/12/2021","24.61","24.72","25.19","24.34","24.72M","-2.03%"
"10/11/2021","25.12","25.00","25.14","24.16","26.81M","1.33%"
"10/08/2021","24.79","24.95","25.19","24.60","32.69M","-1.86%"
"10/07/2021","25.26","25.70","25.73","25.18","27.07M","-3.62%"
"10/06/2021","26.21","27.20","28.25","26.15","52.53M","-1.28%"
"10/05/2021","26.55","27.35","27.53","26.04","32.80M","-3.70%"
"10/04/2021","27.57","26.84","28.50","26.63","56.77M","2.80%"
"10/01/2021","26.82","27.23","28.19","26.15","42.13M","-3.63%"
"09/30/2021","27.83","27.08","28.32","26.45","59.46M","0.07%"
"09/29/2021","27.81","27.28","28.03","26.92","45.60M","1.46%"
"09/28/2021","27.41","25.90","27.97","25.64","76.19M","10.44%"
"09/27/2021","24.82","24.74","25.04","24.37","26.04M","0.98%"
"09/24/2021","24.58","25.98","26.03","24.53","34.22M","-3.08%"
"09/23/2021","25.36","26.18","26.23","25.26","47.09M","-6.32%"
"09/22/2021","27.07","27.92","28.31","26.49","55.00M","-6.20%"
"09/21/2021","28.86","28.87","30.36","28.22","54.07M","-2.96%"
"09/20/2021","29.74","29.00","32.40","28.26","101.85M","10.93%"
"09/17/2021","26.81","25.30","26.90","25.13","45.55M","6.47%"
"09/16/2021","25.18","25.55","26.16","24.91","36.47M","-0.98%"
"09/15/2021","25.43","25.98","26.53","25.24","33.43M","-3.89%"
"09/14/2021","26.46","25.69","26.89","25.52","41.91M","1.42%"
"09/13/2021","26.09","25.88","27.31","25.77","45.58M","-3.58%"
"09/10/2021","27.06","25.15","27.22","24.92","37.10M","3.88%"
"09/09/2021","26.05","25.70","26.15","24.96","29.23M","2.12%"
"09/08/2021","25.51","26.04","26.44","25.45","28.29M","-0.16%"
"09/07/2021","25.55","25.11","25.78","25.09","23.41M","2.45%"
"09/03/2021","24.94","25.20","25.43","24.73","27.33M","0.69%"
"09/02/2021","24.77","24.55","25.25","24.53","24.48M","-0.20%"
